PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
0,1,0,0,0,6,7,0,0,0,1,0,1
0,1,0,0,0,7,6,0,0,0,1,0,1
0,1,1,0,0,6,2,6241,6241,6,1,0,1
0,1,1,0,0,6,4,6241,6241,6,1,0,1
0,1,1,0,0,6,9,6241,6241,6,1,0,1
0,1,1,0,0,6,10,6241,6241,6,1,0,1
0,1,1,0,0,6,15,6241,6241,6,1,0,1
0,1,0,0,1,2,6,8769,8769,6,0,1,1
0,1,0,0,1,9,6,8769,8769,6,1,0,1
0,1,1,0,0,9,2,13071,13071,6,1,0,1
0,1,1,0,0,9,3,13071,13071,6,1,0,1
0,1,1,0,0,9,4,13071,13071,6,1,0,1
0,1,1,0,0,9,5,13071,13071,6,1,0,1
0,1,1,0,0,9,6,13071,13071,6,1,0,1
0,1,1,0,0,9,10,13071,13071,6,1,0,1
0,1,1,0,0,9,11,13071,13071,6,1,0,1
0,1,1,0,0,9,12,13071,13071,6,1,0,1
0,1,1,0,0,9,13,13071,13071,6,1,0,1
0,1,1,0,0,9,14,13071,13071,6,1,0,1
0,1,1,0,0,9,15,13071,13071,6,1,0,1
0,1,0,0,1,3,9,17986,17986,6,0,1,1
0,1,0,0,1,11,9,17986,17986,6,0,1,1
0,1,1,0,0,6,2,16803,16803,6,0,1,1
0,1,1,0,0,6,4,16803,16803,6,0,1,1
0,1,1,0,0,6,10,16803,16803,6,1,0,1
0,1,1,0,0,6,15,16803,16803,6,1,0,1
0,1,1,0,0,14,2,22762,22762,6,1,0,1
0,1,1,0,0,14,3,22762,22762,6,1,0,1
0,1,1,0,0,14,4,22762,22762,6,1,0,1
0,1,1,0,0,14,5,22762,22762,6,1,0,1
0,1,1,0,0,14,9,22762,22762,6,1,0,1
0,1,1,0,0,14,10,22762,22762,6,1,0,1
0,1,1,0,0,14,11,22762,22762,6,1,0,1
0,1,1,0,0,14,12,22762,22762,6,1,0,1
0,1,1,0,0,14,13,22762,22762,6,1,0,1
0,1,1,0,0,14,15,22762,22762,6,1,0,1
0,1,1,0,0,2,1,14586,14586,6,1,0,1
0,1,1,0,0,2,3,14586,14586,6,1,0,1
0,1,1,0,0,2,4,14586,14586,6,0,1,1
0,1,1,0,0,2,5,14586,14586,6,0,1,1
0,1,1,0,0,2,6,14586,14586,6,0,1,1
0,1,1,0,0,2,9,14586,14586,6,0,0,1
0,1,1,0,0,2,10,14586,14586,6,0,1,1
0,1,1,0,0,2,11,14586,14586,6,1,0,1
0,1,1,0,0,2,12,14586,14586,6,0,1,1
0,1,1,0,0,2,14,14586,14586,6,0,0,1
0,1,1,0,0,15,13,13081,13081,6,1,0,1
0,1,0,0,0,1,2,25000,25000,6,0,1,1
0,1,0,0,0,1,3,25000,25000,6,1,0,1
0,1,0,0,0,1,4,25000,25000,6,0,1,1
0,1,0,0,0,1,5,25000,25000,6,1,0,1
0,1,0,0,0,1,11,25000,25000,6,1,0,1
0,1,0,0,0,1,12,25000,25000,6,1,0,1
0,1,0,0,0,1,13,25000,25000,6,1,0,1
0,1,0,0,0,10,6,25000,25000,6,1,0,1
0,1,0,0,0,10,9,25000,25000,6,1,0,1
0,1,0,0,0,10,14,25000,25000,6,1,0,1
0,1,0,0,0,10,15,25000,25000,6,1,0,1
0,1,0,0,1,13,9,17986,17986,6,0,1,1
0,1,0,0,1,4,6,8769,8769,6,1,0,1
0,1,1,0,0,3,1,22723,22723,6,0,1,1
0,1,1,0,0,3,2,22723,22723,6,1,0,1
0,1,1,0,0,3,5,22723,22723,6,0,1,1
0,1,1,0,0,3,11,22723,22723,6,0,1,1
0,1,1,0,0,3,12,22723,22723,6,0,1,1
0,1,1,0,0,3,14,22723,22723,6,0,1,1
0,1,0,0,0,10,2,30000,30000,6,0,1,1
0,1,0,0,0,10,4,30000,30000,6,0,1,1
0,1,0,0,0,10,6,30000,30000,6,1,0,1
0,1,0,0,0,10,14,30000,30000,6,0,1,1
0,1,0,0,0,10,15,30000,30000,6,0,1,1
0,1,0,0,1,5,9,17986,17986,6,1,0,1
0,1,0,0,0,10,6,35000,35000,6,0,1,1
0,1,0,0,0,10,15,35000,35000,6,0,1,1
0,1,0,0,1,3,9,25930,25930,6,0,1,1
0,1,1,0,0,11,2,24488,24488,6,0,1,1
0,1,1,0,0,11,4,24488,24488,6,0,1,1
0,1,1,0,0,11,5,24488,24488,6,0,1,1
0,1,1,0,0,11,12,24488,24488,6,0,1,1
0,1,1,0,0,11,13,24488,24488,6,0,1,1
0,1,1,0,0,11,14,24488,24488,6,0,1,1
0,1,1,0,0,5,1,25825,25825,6,1,0,1
0,1,1,0,0,5,2,25825,25825,6,1,0,1
0,1,1,0,0,5,3,25825,25825,6,1,0,1
0,1,1,0,0,5,4,25825,25825,6,1,0,1
0,1,1,0,0,5,9,25825,25825,6,1,0,1
0,1,1,0,0,5,11,25825,25825,6,1,0,1
0,1,1,0,0,5,13,25825,25825,6,1,0,1
0,1,1,0,0,5,14,25825,25825,6,1,0,1
0,1,1,0,0,5,15,25825,25825,6,1,0,1
0,1,1,0,0,13,1,24173,24173,6,1,0,1
